Rank,Site URL,token vul,secret vul,signed_request vul,referrer vul,DOM vul, SDK used, social plugin used
7,http://www.pinterest.com,1,1,1,1,1,0,0
8,http://www.yahoo.com,1,1,1,1,1,0,0
9,http://www.bing.com,1,1,1,1,1,0,0
12,http://www.huffingtonpost.com,1,1,1,1,1,1,0
15,http://www.answers.com,-1,1,1,1,1,0,0
16,http://www.ehow.com,1,1,-1,1,1,1,0
20,http://www.ask.com,1,1,1,1,1,0,0
25,http://www.comcast.net,12,1,12,1,1,1,0
32,http://www.wikia.com,1,1,1,1,1,1,0
33,http://www.whitepages.com,1,1,1,1,1,0,0
36,http://www.nytimes.com,-1,1,-1,1,1,1,0
38,http://www.buzzfeed.com,1,1,-1,1,1,1,0
40,http://www.yellowpages.com,1,1,1,1,1,0,0
41,http://www.vimeo.com,1,1,1,1,1,0,0
43,http://www.bleacherreport.com,10,10,10,10,10,1,0
44,http://www.imdb.com,1,1,1,1,1,0,0
45,http://www.nydailynews.com,16,1,16,1,1,0,0
50,http://www.imgur.com,1,1,1,1,1,0,0
51,http://www.reference.com,1,1,1,1,1,0,0
53,http://www.mapquest.com,1,1,-1,1,1,0,1
59,http://www.ancestry.com,-1,1,-1,1,1,1,0
60,http://www.photobucket.com,1,1,1,1,1,0,0
68,http://www.msnbc.com,1,1,1,1,1,1,0
70,http://www.cnet.com,1,1,1,1,1,0,0
72,http://www.hulu.com,1,1,1,1,1,1,0
74,http://www.mlb.com,1,1,1,1,1,0,0
78,http://www.flickr.com,1,1,1,1,1,0,0
81,http://www.goodreads.com,1,1,1,1,1,1,0
83,http://www.fandango.com,1,1,-1,1,1,1,0
84,http://www.wunderground.com,22,1,22,1,1,1,0
91,http://www.tripadvisor.com,1,1,1,1,1,1,0
95,http://www.fixya.com,10,10,10,10,10,1,0
96,http://www.thepostgame.com,1,1,-1,1,1,1,0
97,http://www.netflix.com,12,1,12,1,1,1,0
99,http://www.zillow.com,1,1,-1,1,1,1,0
103,http://www.break.com,-1,1,-1,1,1,1,0
108,http://www.etsy.com,1,1,1,1,1,1,0
113,http://www.4shared.com,1,1,1,1,1,0,0
114,http://www.edmunds.com,1,1,1,1,1,0,0
115,http://www.sbnation.com,1,1,1,1,1,0,0
118,http://www.squidoo.com,1,1,1,1,1,1,0
119,http://www.today.com,1,1,1,1,1,1,0
121,http://www.stackexchange.com,1,1,1,1,1,0,0
122,http://www.expedia.com,1,1,-1,1,1,1,0
123,http://www.collegehumor.com,11,1,11,1,1,1,0
124,http://www.gawker.com,1,1,1,1,1,0,0
127,http://www.livestrong.com,1,1,1,1,1,1,0
129,http://www.newsvine.com,1,1,1,1,1,1,0
130,http://www.skype.com,1,1,1,-1,1,0,0
131,http://www.cbsnews.com,10,10,10,10,10,0,0
134,http://www.rottentomatoes.com,1,1,-1,1,1,1,0
136,http://www.careerbuilder.com,1,1,1,1,1,0,0
139,http://www.thesaurus.com,1,1,1,1,1,0,0
140,http://www.fool.com,10,10,10,10,10,1,0
144,http://www.wsj.com,1,1,1,1,1,0,0
147,http://www.wikihow.com,1,1,-1,1,1,1,0
149,http://www.shopping.com,1,1,-1,1,1,0,1
151,http://www.fanpop.com,10,10,10,10,10,1,0
152,http://www.reuters.com,1,1,1,1,1,0,0
153,http://www.tvguide.com,1,1,1,1,1,0,0
155,http://www.myspace.com,1,1,1,1,1,0,0
156,http://www.lifehacker.com,1,1,1,1,1,0,0
157,http://www.stackoverflow.com,1,1,1,1,1,0,0
158,http://www.rapgenius.com,1,1,1,1,1,0,0
161,http://www.zimbio.com,-1,1,-1,1,1,1,0
163,http://www.cbssports.com,1,1,1,1,1,0,0
167,http://www.indeed.com,1,1,1,1,1,0,0
172,http://www.typepad.com,20,1,20,1,1,0,1
174,http://www.instructables.com,-1,1,-1,1,1,1,0
178,http://www.tomshardware.com,16,1,16,1,1,0,0
180,http://www.trulia.com,1,1,1,1,1,1,0
181,http://www.eventful.com,-1,1,1,1,1,1,0
186,http://www.scribd.com,1,1,1,1,1,1,0
188,http://www.moviefone.com,1,1,1,1,1,0,0
191,http://www.wayfair.com,-1,1,-1,1,1,1,0
196,http://www.nationalgeographic.com,1,1,1,1,1,0,0
197,http://www.gizmodo.com,1,1,1,1,1,0,0
199,http://www.autotrader.com,1,1,1,1,1,0,0
206,http://www.dailymail.co.uk,1,1,1,-1,-1,0,0
214,http://www.glassdoor.com,-1,1,-1,1,1,1,0
219,http://www.viewster.com,-1,1,-1,1,1,1,0
221,http://www.wix.com,1,1,1,1,1,0,0
223,http://www.zap2it.com,1,1,1,1,1,0,0
226,http://www.liveleak.com,1,1,1,1,1,0,0
231,http://www.wattpad.com,1,1,-1,1,1,1,0
234,http://www.investopedia.com,1,1,1,1,1,0,0
237,http://www.alibaba.com,1,1,1,1,1,0,0
240,http://www.metacafe.com,1,1,-1,1,1,1,0
241,http://www.angieslist.com,1,1,1,1,1,0,0
242,http://www.123greetings.com,1,1,1,1,1,0,0
244,http://www.androidcentral.com,1,1,1,1,1,0,0
247,http://www.nj.com,1,1,1,1,1,0,0
252,http://www.retailmenot.com,-1,1,1,1,1,0,0
253,http://www.barackobama.com,1,1,1,1,1,1,0
254,http://www.townhall.com,-1,1,-1,1,1,1,0
257,http://www.kickstarter.com,20,1,20,1,1,1,0
258,http://www.thechive.com,1,1,1,1,1,0,0
260,http://www.everydayhealth.com,1,1,1,1,1,0,0
262,http://www.travelzoo.com,1,1,1,1,1,0,0
264,http://www.softonic.com,1,1,1,1,1,1,0
265,http://www.spokeo.com,1,1,1,1,1,0,0
268,http://www.timeanddate.com,1,1,1,1,1,0,0
271,http://www.usatoday.com,1,1,-1,1,1,1,0
273,http://www.salon.com,1,1,1,1,1,0,0
277,http://www.quizlet.com,1,1,1,1,1,0,0
278,http://www.microsofttranslator.com,1,1,1,1,1,0,0
280,http://www.cbs.com,1,1,1,1,1,0,0
281,http://www.urbanspoon.com,1,1,1,1,1,1,0
283,http://www.aarp.org,1,1,1,1,1,0,0
288,http://www.rr.com,1,1,1,1,1,0,0
290,http://www.cheezburger.com,1,1,1,1,1,1,0
291,http://www.realsimple.com,1,1,1,1,1,0,0
292,http://www.docstoc.com,1,1,1,1,1,1,0
297,http://www.charter.net,1,1,1,1,1,1,0
301,http://www.io9.com,1,1,1,1,1,0,0
303,http://www.jezebel.com,1,1,1,1,1,0,0
308,http://www.slideshare.net,-1,1,-1,1,1,1,0
309,http://www.caringbridge.org,1,1,1,1,1,0,0
310,http://www.videobash.com,1,1,-1,1,1,1,0
312,http://www.causes.com,1,1,1,1,1,1,0
314,http://www.deadspin.com,1,1,1,1,1,0,0
315,http://www.kotaku.com,1,1,1,1,1,0,0
316,http://www.twitch.tv,1,1,1,1,1,0,0
318,http://www.foxbusiness.com,1,1,1,1,1,0,0
319,http://www.npr.org,13,1,13,1,1,0,0
320,http://www.pogo.com,1,1,1,1,1,0,1
323,http://www.starpulse.com,1,1,1,1,1,0,1
328,http://www.chicagotribune.com,1,1,1,1,1,0,0
330,http://www.oprah.com,1,1,1,1,1,0,0
332,http://www.officedepot.com,23,1,23,1,1,0,0
333,http://www.lyricsmode.com,1,1,1,1,1,0,0
334,http://www.christianpost.com,1,1,1,1,1,0,0
341,http://www.theverge.com,1,1,1,1,1,0,0
345,http://www.tagged.com,1,1,1,1,1,1,0
355,http://www.myrecipes.com,1,1,1,1,1,0,0
364,http://www.stylebistro.com,-1,1,-1,1,1,1,0
365,http://www.cafepress.com,-1,1,-1,1,1,1,0
367,http://www.zulily.com,1,1,1,1,1,1,0
368,http://www.apartmenttherapy.com,1,1,1,1,1,0,0
370,http://www.realtor.com,10,10,10,10,10,1,0
371,http://www.thekitchn.com,1,1,1,1,1,0,0
374,http://www.dictionary.com,1,1,1,1,1,0,0
375,http://www.funnyordie.com,-1,1,-1,1,1,1,0
378,http://www.bright.com,12,12,12,12,12,1,0
382,http://www.doctoroz.com,1,1,1,1,1,0,0
383,http://www.indiatimes.com,1,1,1,1,1,0,0
400,http://www.hotels.com,1,1,1,1,1,0,0
403,http://www.meetme.com,1,1,1,1,1,1,0
407,http://www.meetup.com,1,1,1,1,1,1,0
413,http://www.citysearch.com,1,1,1,1,1,0,0
416,http://www.ranker.com,1,1,1,1,1,0,0
417,http://www.mlive.com,1,1,1,1,1,0,0
418,http://www.biography.com,1,1,1,1,1,0,0
438,http://www.boston.com,3,1,3,1,1,1,0
440,http://www.tv.com,-1,1,-1,1,1,1,0
441,http://www.ovguide.com,1,1,1,1,1,1,0
442,http://www.zynga.com,22,1,22,1,1,1,0
443,http://www.comedycentral.com,1,1,1,1,1,1,0
448,http://www.hgtv.com,-1,1,-1,1,1,1,0
452,http://www.popsugar.com,-1,1,-1,1,1,1,0
453,http://www.redorbit.com,1,1,1,1,1,0,0
464,http://www.doodle.com,1,1,1,1,1,0,0
476,http://www.imageshack.us,-1,1,-1,1,1,1,0
483,http://www.tunein.com,23,1,23,1,1,0,0
484,http://www.sidereel.com,1,1,1,1,1,0,0
496,http://www.al.com,1,1,1,1,1,0,0
501,http://www.mycokerewards.com,11,1,11,1,1,0,0
504,http://www.justfab.com,12,1,12,1,1,0,0
505,http://www.doityourself.com,1,1,1,1,1,1,0
509,http://www.nfl.com,1,1,1,1,1,0,0
510,http://www.policymic.com,1,1,1,1,1,1,0
512,http://www.mashable.com,1,1,1,1,1,0,0
515,http://www.eatingwell.com,1,1,1,1,1,1,0
520,http://www.hitfix.com,1,1,1,1,1,0,0
521,http://www.smarter.com,1,1,1,1,1,0,1
522,http://www.nascar.com,1,1,1,1,1,0,0
525,http://www.superuser.com,1,1,1,1,1,0,0
532,http://www.123rf.com,1,1,1,1,1,0,0
534,http://www.stltoday.com,11,1,11,-1,-1,0,0
535,http://www.nhl.com,1,1,1,1,1,0,0
537,http://www.hsn.com,1,1,1,1,1,0,0
542,http://www.ivillage.com,1,1,1,1,1,0,0
544,http://www.kayak.com,1,1,-1,1,1,1,0
545,http://www.salsalabs.com,1,1,1,1,1,0,0
556,http://www.ebaumsworld.com,22,1,22,1,1,1,0
564,http://www.businessinsider.com,1,1,-1,1,1,1,0
571,http://www.cleveland.com,1,1,1,1,1,0,0
584,http://www.iplay.com,1,1,1,1,1,0,0
587,http://www.bradsdeals.com,-1,1,-1,1,1,1,0
592,http://www.celebuzz.com,-1,1,-1,1,1,1,0
594,http://www.vrbo.com,-1,1,-1,1,1,1,0
596,http://www.findthebest.com,-1,1,-1,1,1,1,0
603,http://www.ioffer.com,1,1,1,1,1,0,1
607,http://www.answerbag.com,1,1,1,1,1,1,0
616,http://www.ftd.com,-1,1,-1,1,1,1,0
621,http://www.imvu.com,1,1,1,1,1,0,0
624,http://www.jalopnik.com,1,1,1,1,1,0,0
628,http://www.lolspots.com,10,10,10,10,10,1,0
631,http://www.soft32.com,1,1,1,1,1,0,0
635,http://www.snapfish.com,10,10,10,10,10,1,0
637,http://www.buzznet.com,22,1,22,1,1,1,0
642,http://www.tributes.com,1,1,1,1,1,0,1
649,http://www.philly.com,12,1,12,1,1,1,1
653,http://www.hallmark.com,1,1,1,1,-1,0,0
661,http://www.weddingwire.com,1,1,-1,1,1,1,0
663,http://www.reverbnation.com,22,1,22,1,1,1,0
670,http://www.starbucks.com,1,1,1,1,1,1,0
671,http://www.ajc.com,1,1,1,1,1,0,0
675,http://www.shopstyle.com,-1,1,-1,1,1,1,0
685,http://www.cbc.ca,20,1,20,1,1,1,0
687,http://www.ultimate-guitar.com,1,1,1,1,1,0,0
705,http://www.fodors.com,1,1,1,1,-1,1,0
712,http://www.spotify.com,10,10,10,10,10,1,0
716,http://www.economist.com,1,1,1,1,1,0,0
720,http://www.cargurus.com,-1,1,1,-1,1,0,0
750,http://www.allmusic.com,1,1,1,1,1,0,0
774,http://www.homeaway.com,-1,1,-1,1,1,1,0
778,http://www.bravotv.com,1,1,1,1,1,0,0
781,http://www.newser.com,12,1,12,1,1,1,0
786,http://www.howaboutwe.com,3,1,3,1,1,1,0
793,http://www.independentlivingnews.com,1,1,1,1,1,0,0
798,http://www.expotv.com,1,1,-1,1,1,1,0
800,http://www.education.com,1,1,1,1,1,1,0
805,http://www.popularmechanics.com,1,1,1,1,1,1,0
808,http://www.redfin.com,1,1,-1,1,1,1,0
809,http://www.mrmovietimes.com,2,2,2,2,2,0,1
812,http://www.gamezone.com,1,1,1,1,1,0,0
815,http://www.active.com,1,1,1,1,1,1,0
817,http://www.madmimi.com,1,1,1,-1,1,0,0
819,http://www.gsmarena.com,1,1,1,1,1,0,0
822,http://www.smosh.com,1,1,1,1,1,0,0
828,http://www.wiredforchange.com,1,1,1,1,1,0,0
831,http://www.coupons.com,-1,1,-1,1,1,1,0
833,http://www.sparkpeople.com,11,1,11,1,1,0,1
840,http://www.yousendit.com,1,1,1,-1,1,0,0
843,http://www.news.com,1,1,1,1,1,0,0
844,http://www.zdnet.com,1,1,1,1,1,0,0
851,http://www.someecards.com,1,1,1,1,1,1,0
853,http://www.become.com,1,1,1,1,1,0,0
854,http://www.arcadeweb.com,15,1,15,1,1,0,0
856,http://www.wonderhowto.com,1,1,1,1,1,0,0
857,http://www.myvoicenation.com,1,1,1,-1,1,0,0
866,http://www.polygon.com,1,1,1,1,1,0,0
867,http://www.sharecare.com,22,1,22,1,1,0,0
869,http://www.change.org,1,1,1,1,1,1,0
875,http://www.bufferapp.com,1,1,1,1,1,0,0
884,http://www.jossandmain.com,-1,1,-1,1,1,1,0
888,http://www.radaris.com,1,1,1,1,1,0,0
892,http://www.thegrio.com,10,10,10,10,10
898,http://www.nbclosangeles.com,1,1,1,1,1,0,0
900,http://www.tiqiq.com,-1,1,-1,1,1,1,0
902,http://www.popularscreensavers.com,-1,1,-1,1,1,0,1
906,http://www.manualsonline.com,1,1,1,1,1,0,0
918,http://www.crackle.com,-1,1,-1,1,1,1,0
921,http://www.trimdownclub.com,10,10,10,10,10,0,0
924,http://www.msedge.net,1,1,1,1,1,0,0
929,http://www.icontact.com,1,1,1,1,1,0,0
947,http://www.shopyourway.com,1,1,1,1,1,1,0
949,http://www.homeadvisor.com,1,1,1,1,1,0,0
959,http://www.storify.com,11,1,11,1,1,0,0
960,http://www.corporationwiki.com,1,1,1,1,1,0,0
962,http://www.motortrend.com,1,1,1,1,1,0,0
963,http://www.wanttt.com,1,1,1,1,1,0,0
965,http://www.lumosity.com,1,1,1,1,1,1,0
975,http://www.maxpreps.com,1,1,1,1,1,0,0
979,http://www.ted.com,1,1,1,1,1,0,0
980,http://www.ymail.com,1,1,1,1,1,0,0
982,http://www.dermstore.com,1,1,1,1,1,1,0
996,http://www.coupons.net,-1,1,-1,1,1,1,0
1001,http://www.seniorfriendfinder.com,23,1,23,1,1,0,1
1003,http://www.academia.edu,13,1,13,1,1,1,0
1004,http://www.foxsports.com,1,1,1,1,1,0,0
1014,http://www.baby-gaga.com,24,1,24,1,1,1,0
1023,http://www.saturday.com,1,1,1,1,1,0,0
1026,http://www.democrats.org,1,1,1,1,1,0,0
1028,http://www.imore.com,1,1,1,1,1,0,0
1031,http://www.medhelp.org,10,10,10,10,10,0,1
1032,http://www.alexa.com,1,1,1,1,1,1,0
1033,http://www.sun-sentinel.com,1,1,1,1,1,0,0
1034,http://www.apartmentguide.com,1,1,1,1,1,0,0
1036,http://www.refinery29.com,1,1,1,1,1,0,0
1037,http://www.asus.com,1,1,1,1,1,0,0
1042,http://www.justin.tv,11,1,11,1,1,1,0
1055,http://www.c-spanarchives.org,1,1,1,-1,1,0,0
1056,http://www.techspot.com,1,1,1,1,1,0,0
1058,http://www.avclub.com,23,1,23,1,1,1,0
1063,http://www.davesgarden.com,12,1,12,1,1,1,0
1064,http://www.wwe.com,24,1,24,1,1,0,0
1068,http://www.circleofmoms.com,1,1,1,1,1,1,0
1096,http://www.godtube.com,1,1,1,1,1,0,0
1112,http://www.aliexpress.com,1,1,1,1,1,0,0
1121,http://www.lonny.com,-1,1,-1,1,1,1,0
1127,http://www.globalpost.com,1,1,1,1,1,0,0
1134,http://www.clipix.com,1,1,1,1,1,0,0
1137,http://www.woobox.com,1,1,1,1,1,0,0
1140,http://www.movoto.com,16,1,16,1,1,1,0
1145,http://www.pissedconsumer.com,1,1,1,1,1,0,0
1165,http://www.easybib.com,16,1,16,1,1,0,0
1188,http://www.stubhub.com,1,1,-1,1,1,1,0
1192,http://www.techbargains.com,-1,1,-1,1,1,1,0
1196,http://www.independent.co.uk,1,1,1,1,1,0,1
1208,http://www.yellowbook.com,1,1,1,1,1,0,0
1215,http://www.art.com,1,1,1,1,1,0,0
1225,http://www.dexknows.com,1,1,1,1,1,0,0
1231,http://www.garmin.com,1,1,1,1,1,0,0
1236,http://www.meijer.com,22,1,22,1,1,0,1
1239,http://www.guitarcenter.com,1,1,1,1,1,0,0
1240,http://www.cheaptickets.com,1,1,1,1,1,0,0
1243,http://www.telldc.com,3,1,3,1,1,0,1
1244,http://www.dealspl.us,23,1,23,1,1,0,0
1249,http://www.bizjournals.com,1,1,1,1,1,0,0
1251,http://www.majorleaguegaming.com,1,1,1,1,1,0,0
1253,http://www.caranddriver.com,1,1,1,1,1,0,0
1258,http://www.scientificamerican.com,1,1,1,1,1,0,0
1280,http://www.gourmetrecipe.com,11,1,11,1,1,0,0
1302,http://www.myfitnesspal.com,22,1,22,1,1,1,0
1304,http://www.jokeroo.com,15,1,15,1,1,1,0
1308,http://www.cancer.org,1,1,1,1,1,1,0
1315,http://www.orlandosentinel.com,1,1,1,1,1,0,0
1319,http://www.lonelyplanet.com,15,1,15,1,1,0,0
1320,http://www.menuism.com,-1,1,-1,1,1,1,0
1332,http://www.nasdaq.com,1,1,1,1,1,0,0
1341,http://www.blip.tv,1,1,1,1,1,1,0
1346,http://www.happyplace.com,1,1,1,1,1,1,0
1351,http://www.yummly.com,1,1,-1,1,1,1,0
1352,http://www.offerpop.com,23,1,23,1,1,1,0
1359,http://www.zabasearch.com,1,1,1,1,1,1,0
1363,http://www.syracuse.com,1,1,1,1,1,0,0
1370,http://www.americanlanternalerts.com,1,1,1,1,1,0,0
1371,http://www.wsbtv.com,1,1,1,1,1,0,0
1373,http://www.bloglovin.com,1,1,1,-1,-1,1,0
1378,http://www.americanidol.com,1,1,1,1,1,0,0
1382,http://www.diynetwork.com,-1,1,-1,1,1,1,0
1391,http://www.kraftrecipes.com,12,1,12,1,1,1,0
1396,http://www.travelandleisure.com,13,1,13,1,1,1,0
1407,http://www.pennlive.com,1,1,1,1,1,0,0
1425,http://www.telly.com,1,1,1,1,1,0,0
1426,http://www.enotes.com,1,1,1,1,1,0,0
1429,http://www.steadyhealth.com,1,1,1,1,1,0,0
1430,http://www.memegenerator.net,-1,1,-1,1,1,1,0
1439,http://www.getitfree.us,1,1,1,1,1,0,0
1441,http://www.businessconsumeralliance.org,24,1,24,1,-1,0,1
1442,http://www.ebayclassifieds.com,1,1,-1,1,1,1,0
1443,http://www.dailyfinance.com,1,1,1,1,1,0,0
1446,http://www.liquor.com,-1,1,-1,1,1,1,0
1448,http://www.thesmokinggun.com,11,1,11,1,1,0,1
1455,http://www.bhg.com,1,1,1,1,1,0,0
1471,http://www.1saleaday.com,1,1,1,1,1,0,0
1474,http://www.restaurant.com,1,1,1,1,1,0,0
1477,http://www.spiegel.de,1,1,1,1,1,0,0
1478,http://www.ninjakiwi.com,1,1,1,1,1,1,0
1484,http://www.relish.com,1,1,1,1,1,0,0
1500,http://www.masslive.com,1,1,1,1,1,0,0
1505,http://www.1800flowers.com,1,1,1,1,1,1,0
1508,http://www.made-in-china.com,1,1,1,1,-1,1,0
1511,http://www.zvents.com,10,10,10,10,10,1,0
1516,http://www.youbeauty.com,1,1,1,1,1,0,0
1532,http://www.mrfood.com,-1,1,-1,1,1,1,0
1539,http://www.redbubble.com,-1,1,-1,1,1,1,0
1553,http://www.411.info,1,1,1,-1,-1,0,0
1555,http://www.listal.com,1,1,1,1,1,0,0
1557,http://www.discogs.com,1,1,1,-1,-1,0,0
1566,http://www.tickets.com,10,10,10,10,10,0,0
1585,http://www.flickriver.com,1,1,1,1,1,0,0
1590,http://www.depositfiles.com,1,1,1,1,1,0,0
1594,http://www.southparkstudios.com,10,10,10,10,10,0,1
1616,http://www.9gag.com,1,1,1,1,1,0,0
1625,http://www.dealchicken.com,23,1,23,-1,-1,1,0
1627,http://www.nbcdfw.com,1,1,1,1,1,0,0
1630,http://www.teleflora.com,1,1,-1,-1,-1,1,0
1633,http://www.eviesays.com,1,1,1,1,1,0,0
1636,http://www.viator.com,1,1,1,1,1,0,0
1649,http://www.wikidot.com,1,1,1,1,1,1,0
1656,http://www.pjmedia.com,-1,1,-1,1,1,1,0
1659,http://www.lockerz.com,1,1,1,1,1,1,0
1661,http://www.theknot.com,23,1,23,1,1,1,0
1673,http://www.wajam.com,1,1,1,1,1,1,0
1677,http://www.diabetes.org,1,1,1,-1,-1,0,0
1686,http://www.ebags.com,1,1,1,1,1,0,0
1688,http://www.parade.com,-1,1,1,1,1,0,0
1690,http://www.cincinnati.com,12,1,12,1,1,1,0
1694,http://www.mylife.com,1,1,1,1,1,0,0
1698,http://www.ziprealty.com,1,1,1,1,1,0,0
1707,http://www.keyingredient.com,1,1,1,-1,1,0,0
1713,http://www.pgpartner.com,1,1,1,-1,1,0,0
1714,http://www.badoo.com,1,1,1,1,1,0,0
1718,http://www.forlocations.com,2,2,2,2,2,0,0
1725,http://www.businessdictionary.com,1,1,1,1,1,0,0
1729,http://www.rent.com,1,1,1,1,-1,0,0
1745,http://www.askubuntu.com,1,1,1,1,1,0,0
1753,http://www.syfy.com,1,1,1,1,1,0,0
1759,http://www.paperlesspost.com,1,1,1,1,1,0,0
1770,http://www.flightstats.com,1,1,1,1,1,0,0
1781,http://www.thestar.com,1,1,1,1,1,0,0
1785,http://www.gamesgames.com,1,1,1,1,1,0,0
1794,http://www.kinja.com,1,1,1,1,1,0,0
1803,http://www.virtualtourist.com,1,1,1,-1,1,0,0
1807,http://www.indystar.com,12,1,12,1,1,1,0
1809,http://www.newspapers.com,1,1,-1,1,1,1,0
1821,http://www.easytobook.com,1,1,1,1,1,0,0
1841,http://www.nextag.com,-1,1,-1,1,1,1,0
1847,http://www.christianitytoday.com,1,1,1,1,1,0,0
1853,http://www.8tracks.com,1,1,1,1,1,0,0
1870,http://www.ngeo.com,1,1,1,1,1,0,0
1872,http://www.entrepreneur.com,1,1,1,1,1,0,0
1875,http://www.familybuilder.com,20,1,20,1,-1,1,0
1896,http://www.destructoid.com,1,1,1,1,1,0,1
1901,http://www.stipple.com,1,1,1,1,1,0,0
1902,http://www.cardomain.com,10,10,10,10,10,0,0
1906,http://www.games.com,1,1,1,1,1,0,0
1917,http://www.nbcwashington.com,1,1,1,1,1,0,0
1921,http://www.bannersnack.com,1,1,1,1,1,0,0
1935,http://www.flipkey.com,1,1,1,1,1,0,0
1963,http://www.hgtvremodels.com,-1,1,-1,1,1,1,0
1974,http://www.serverfault.com,1,1,1,1,1,0,0
1977,http://www.phys.org,1,1,1,1,1,0,1
1978,http://www.tvfanatic.com,1,1,1,1,1,0,1
1986,http://www.pga.com,1,1,1,1,1,0,0
1990,http://www.mirror.co.uk,1,1,1,1,1,1,0
1992,http://www.wowwiki.com,1,1,1,1,1,1,0
2014,http://www.fatwallet.com,1,1,1,1,1,1,0
2018,http://www.lampsplus.com,10,10,10,10,10,0,0
2023,http://www.sparklit.com,1,1,1,1,1,0,0
2028,http://www.onekingslane.com,1,1,1,1,1,0,0
2039,http://www.nbcbayarea.com,1,1,1,1,1,0,0
2040,http://www.pricegrabber.com,1,1,1,-1,1,0,0
2044,http://www.aolanswers.com,1,1,1,1,1,0,1
2047,http://www.articlesbase.com,1,1,1,1,1,1,0
2049,http://www.trailer.ly,1,1,1,-1,1,0,0
2065,http://www.wyndhamrewards.com,1,1,1,1,1,0,0
2073,http://www.fontspace.com,1,1,1,1,1,0,0
2093,http://www.veoh.com,-1,1,-1,1,1,1,0
2097,http://www.oneall.com,1,1,1,1,1,0,0
2117,http://www.moddb.com,1,1,1,1,1,0,0
2124,http://www.mypoints.com,1,1,1,1,1,0,0
2137,http://www.westelm.com,1,1,1,1,1,0,0
2140,http://www.gsn.com,1,1,1,1,1,0,0
2145,http://www.crackberry.com,1,1,1,1,1,0,0
2147,http://www.naturallycurly.com,1,1,1,1,1,0,0
2154,http://www.managemylife.com,1,1,1,1,1,0,0
2161,http://www.inquirehow.com,1,1,1,1,1,0,0
2164,http://www.lyrster.com,1,1,-1,1,1,1,0
2167,http://www.agame.com,1,1,1,1,1,0,0
2178,http://www.walkscore.com,1,1,1,1,1,1,0
2189,http://www.neoseeker.com,-1,1,1,1,1,0,0
2195,http://www.cdbaby.com,1,1,1,1,1,0,0
2196,http://www.nbcmiami.com,1,1,1,1,1,0,0
2197,http://www.insiderpages.com,1,1,1,1,1,0,1
2199,http://www.azfamily.com,1,1,1,-1,1,0,0
2201,http://www.nikonusa.com,1,1,1,1,1,0,0
2210,http://www.courant.com,1,1,1,1,1,0,0
2222,http://www.timesdispatch.com,11,1,11,-1,-1,0,0
2223,http://www.ratemds.com,10,10,10,10,10,0,1
2228,http://www.ancientfaces.com,-1,1,-1,1,1,1,0
2233,http://www.trysensa.com,1,1,1,1,1,1,0
2254,http://www.ae.com,-1,1,-1,1,1,1,0
2255,http://www.queerty.com,2,2,2,2,2,0,1
2261,http://www.accessatlanta.com,1,1,1,1,1,0,0
2279,http://www.iwin.com,1,1,1,1,1,1,0
2294,http://www.digitalpoint.com,24,1,24,-1,-1,0,0
2298,http://www.minyanville.com,-1,1,-1,1,1,0,1
2299,http://www.artfire.com,10,10,10,10,10,0,0
2308,http://www.baseball-reference.com,1,1,1,1,1,0,0
2312,http://www.everydayfamily.com,1,1,1,1,1,0,0
2318,http://www.songkick.com,-1,1,1,1,1,1,0
2322,http://www.findthedata.org,-1,1,-1,1,1,1,0
2324,http://www.shopsocially.com,12,1,12,1,1,1,0
2338,http://www.desmoinesregister.com,12,1,12,1,1,1,0
2345,http://www.globaltestmarket.com,11,1,11,1,1,1,0
2351,http://www.voanews.com,1,1,-1,1,1,1,0
2355,http://www.katespade.com,1,1,1,1,1,0,0
2356,http://www.vevo.com,23,1,23,1,1,1,0
2359,http://www.carsdirect.com,1,1,1,1,1,0,0
2363,http://www.revolutiongolf.com,10,10,10,10,10,1,0
2372,http://www.brightlist.com,1,1,1,1,1,0,0
2386,http://www.fitbit.com,23,1,23,-1,-1,1,0
2388,http://www.wral.com,1,1,1,1,1,0,0
2395,http://www.nwitimes.com,2,2,2,2,2,0,0
2426,http://www.wnyc.org,1,1,1,1,1,0,0
2430,http://www.vladtv.com,1,1,1,1,1,0,0
2431,http://www.crocs.com,1,1,1,1,1,0,0
2447,http://www.wikimapia.org,-1,1,-1,1,1,1,0
2450,http://www.truecar.com,1,1,1,1,1,0,0
2453,http://www.ratekick.com,2,2,2,2,2,0,1
2454,http://www.animoto.com,-1,1,-1,1,1,1,0
2459,http://www.fncstatic.com,1,1,1,1,1,0,0
2467,http://www.nbcconnecticut.com,1,1,1,1,1,0,0
2471,http://www.zinio.com,1,1,1,1,1,0,0
2472,http://www.tripadvisor.it,1,1,1,1,1,1,0
2483,http://www.bestplaces.net,1,1,1,1,1,0,0
2488,http://www.omahasteaks.com,1,1,1,1,1,0,0
2493,http://www.wftv.com,1,1,1,1,1,0,0
